Starting simulation for repetition = 3 at 2024-10-03 14:40:27 
Starting simulation for repetition = 3 at 2024-10-03 14:44:16 
Year 10 completed in repetition = 3 at 2024-10-03 14:44:18 
Year 20 completed in repetition = 3 at 2024-10-03 14:44:21 
Year 30 completed in repetition = 3 at 2024-10-03 14:44:25 
Year 40 completed in repetition = 3 at 2024-10-03 14:44:40 
Year 50 completed in repetition = 3 at 2024-10-03 14:44:51 
Year 60 completed in repetition = 3 at 2024-10-03 14:45:11 
Year 70 completed in repetition = 3 at 2024-10-03 14:45:38 
Year 80 completed in repetition = 3 at 2024-10-03 14:46:12 
Year 90 completed in repetition = 3 at 2024-10-03 14:47:39 
Year 100 completed in repetition = 3 at 2024-10-03 14:48:57 
Year 110 completed in repetition = 3 at 2024-10-03 14:52:22 
